#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
47.049,Mathematical and Physical Sciences,National Science Foundation,B - PROJECT GRANTS,8/27/2015 5:02,1/1/1976 0:00
47.050,Geosciences,National Science Foundation,B - PROJECT GRANTS,8/27/2015 5:02,1/1/1976 0:00
47.070,Computer and Information Science and Engineering,National Science Foundation,B - PROJECT GRANTS,8/27/2015 5:02,1/1/2004 0:00
47.074,Biological Sciences,National Science Foundation,B - PROJECT GRANTS,8/27/2015 5:02,1/1/1992 0:00
47.075,"Social, Behavioral, and Economic Sciences",National Science Foundation,B - PROJECT GRANTS,8/30/2015 5:00,1/1/1992 0:00
47.076,Education and Human Resources,National Science Foundation,B - PROJECT GRANTS,8/30/2015 5:00,1/1/1992 0:00
47.078,Polar Programs,National Science Foundation,B - PROJECT GRANTS,6/22/2013 5:00,1/1/1997 0:00
47.079,Office of International Science and Engineering,National Science Foundation,B - PROJECT GRANTS,8/30/2015 5:00,1/1/2005 0:00
47.080,Office of Cyberinfrastructure,National Science Foundation,B - PROJECT GRANTS,6/26/2013 5:00,1/1/2008 0:00
47.081,Office of Experimental Program to Stimulate Competitive Research,National Science Foundation,B - PROJECT GRANTS,5/30/2013 5:00,1/1/2008 0:00
47.082,Trans-NSF Recovery Act Reasearch Support,National Science Foundation,B - Project Grants,5/13/2009 9:17,5/13/2009 9:17
47.083,Office of Integrative Activities,National Science Foundation,B - Project Grants,8/30/2015 5:00,5/20/2015 5:00
96.008,Social Security - Work Incentives Planning and Assistance Program,Social Security Administration,B - PROJECT GRANTS,3/25/2016 5:00,1/1/2000 0:00
96.009,Social Security State Grants for Work Incentives Assistance to Disabled Beneficiaries,Social Security Administration,B - PROJECT GRANTS,3/25/2016 5:00,1/1/2002 0:00
90.400,Help America Vote College Program,U.S. Election Assistance Commission,B - PROJECT GRANTS,3/11/2010 11:15,1/1/2004 0:00
90.402,Help America Vote Mock Election Program,U.S. Election Assistance Commission,B - PROJECT GRANTS,11/7/2008 0:00,1/1/2008 0:00
93.701,Trans-NIH Recovery Act Research Support,Department of Health and Human Services / National Institutes of Health,"B - Project Grants (Capacity Building and Complaint Processing, Training)",7/17/2015 5:00,5/15/2009 17:33
84.329,Special Education_Studies and Evaluations,Department of Education / Institute of Education Sciences,B - Project Grants (Contracts),8/23/2015 5:00,1/1/1998 0:00
84.372,Statewide Longitudinal Data Systems,Department of Education / Institute of Education Sciences,B - Project Grants (Contracts),8/14/2015 5:00,1/1/2006 0:00
84.215,Fund for the Improvement of Education,Department of Education / Office of Innovation and Improvement,B - Project Grants (Contracts),8/22/2015 5:00,1/1/1988 0:00
10.927,Emergency Watershed Protection Program - Disaster Relief Appropriations Act,Department of Agriculture / Natural Resources Conservation Service,B - Project Grants (Cooperative Agreements or Contracts),9/4/2015 5:00,
17.505,OSHA Data Initiative,Department of Labor / Occupational Safety and Health Administration,B - Project Grants (Cooperative Agreements or Contracts),8/15/2015 5:00,1/1/2003 0:00
15.508,Providing Water to At-Risk Natural Desert Terminal Lakes,Department of the Interior / Bureau of Reclamation,B - Project Grants (Cooperative Agreements or Contracts),9/1/2015 5:01,1/1/2004 0:00
10.614,Scientific Cooperation Exchange Program with China,Department of Agriculture / Foreign Agricultural Service,"B - Project Grants (Cooperative Agreements or Contracts), C - Direct Payments for Specified Use",8/29/2015 5:01,9/17/2011 5:00
15.516,Fort Peck Reservation Rural Water System,Department of the Interior / Bureau of Reclamation,"B - Project Grants (Cooperative Agreements or Contracts), C - Direct Payments for Specified Use (Cooperative Agreements)",9/1/2015 5:01,1/1/2007 0:00
10.227,1994 Institutions Research Program,Department of Agriculture / National Institute of Food and Agriculture,B - Project Grants (Cooperative Agreements),8/22/2014 16:59,1/1/2000 0:00
10.319,Farm Business Management and Benchmarking Competitive Grants Program,Department of Agriculture / National Institute of Food and Agriculture,B - Project Grants (Cooperative Agreements),8/26/2015 14:09,3/17/2010 14:06
11.312,Research and Evaluation Program,Department of Commerce / Economic Development Administration,B - Project Grants (Cooperative Agreements),9/13/2015 5:00,1/1/1984 0:00
11.451,"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring, and Technology",Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - Project Grants (Cooperative Agreements),10/31/2014 5:00,10/31/2014 5:00
12.118,North Dakota Environmental Infrastructure (Section 594) - ARRA,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Project Grants (Cooperative Agreements),1/21/2011 7:47,1/29/2010 8:02
12.119,Northern Wisconsin Environmental Infrastructure (Section 154) - ARRA,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Project Grants (Cooperative Agreements),1/21/2011 7:47,1/29/2010 8:04
12.120,Northeastern Minnesota  Environmental Infrastructure (Section 569) - ARRA,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Project Grants (Cooperative Agreements),1/21/2011 7:47,1/29/2010 8:04
12.121,"Montana, Nevada, New Mexico, Utah, Idaho, & Wyoming Environmental Infrastructure (Section 595) - ARRA","Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Project Grants (Cooperative Agreements),1/21/2011 7:48,2/4/2010 9:20
12.122,"Title VI - Cheyenne River Sioux Tribe, Lower Brule Sioux Tribe, and Terrestrial Wildlife Habitat Restoration, South Dakota - ARRA","Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Project Grants (Cooperative Agreements),2/4/2010 9:21,2/4/2010 9:21
12.123,South Central Pennsylvania Envrionmental Infrastructure (Section 313) - ARRA,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Project Grants (Cooperative Agreements),1/21/2011 7:48,2/4/2010 9:22
12.124,Mississippi Environmental Infrastructure (Section 592) - ARRA,"Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Project Grants (Cooperative Agreements),1/21/2011 7:49,3/5/2010 7:39
81.049,Office of Science Financial Assistance Program,Department of Energy,B - Project Grants (Cooperative Agreements),9/4/2015 5:00,1/1/1978 0:00
81.087,Renewable Energy Research and Development,Department of Energy,B - Project Grants (Cooperative Agreements),8/22/2015 5:00,1/1/1984 0:00
81.106,"Transport of Transuranic Wastes to the Waste Isolation Pilot Plant: States and Tribal Concerns, Proposed Solutions",Department of Energy,B - Project Grants (Cooperative Agreements),7/26/2015 5:00,1/1/1993 0:00
81.121,"Nuclear Energy Research, Development and Demonstration",Department of Energy,B - Project Grants (Cooperative Agreements),8/21/2015 5:00,1/1/2001 0:00
81.122,"Electricity Delivery and Energy Reliability, Research, Development and Analysis",Department of Energy,B - Project Grants (Cooperative Agreements),8/22/2015 5:00,1/1/2005 0:00
81.136,Long-Term Surveillance and Maintenance,Department of Energy,B - Project Grants (Cooperative Agreements),9/26/2012 7:05,7/20/2009 7:56
93.083,"Prevention of Disease, Disability, and Death through Immunization and Control of Respiratory and Related Diseases",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Project Grants (Cooperative Agreements),8/21/2015 5:00,4/5/2013 5:00
93.142,NIEHS Hazardous Waste Worker Health and Safety Training,Department of Health and Human Services / National Institutes of Health,B - Project Grants (Cooperative Agreements),8/22/2015 5:00,1/1/1990 0:00
15.553,Eastern New Mexico Rural Water System Project,Department of the Interior / Bureau of Reclamation,B - Project Grants (Cooperative Agreements),9/6/2015 5:00,3/21/2012 5:01
15.554,Cooperative Watershed Management Program,Department of the Interior / Bureau of Reclamation,B - Project Grants (Cooperative Agreements),9/6/2015 5:00,3/22/2012 5:01
15.555,San Joaquin River Restoration Program,Department of the Interior / Bureau of Reclamation,B - Project Grants (Cooperative Agreements),9/6/2015 5:00,3/22/2012 5:01
15.557,Desert and Southern Rockies Landscape Conservation Cooperatives,Department of the Interior / Bureau of Reclamation,B - Project Grants (Cooperative Agreements),9/6/2015 5:00,3/22/2012 5:01
15.560,SECURE Water Act – Research Agreements,Department of the Interior / Bureau of Reclamation,B - Project Grants (Cooperative Agreements),9/7/2015 5:00,3/23/2012 5:01
20.320,Rail Line Relocation and Improvement,Department of Transportation / Federal Railroad Administration (FRA),B - Project Grants (Cooperative Agreements),8/1/2015 5:00,7/21/2009 18:09
94.011,Foster Grandparent Program,Corporation for National and Community Service,B - Project Grants (Discretionary),8/17/2013 5:00,1/1/1995 0:00
94.021,Volunteer Generation Fund,Corporation for National and Community Service,B - Project Grants (Discretionary),8/19/2010 8:20,4/27/2010 7:42
10.685,Community Wood Energy Program,Department of Agriculture / Forest Service,B - Project Grants (Discretionary),8/29/2015 5:01,10/1/2009 7:49
10.689,Community Forest and Open Space Conservation Program (CFP),Department of Agriculture / Forest Service,B - Project Grants (Discretionary),8/29/2015 5:01,10/1/2009 7:49
10.317,Food Aid Nutrition Enhancement Program,Department of Agriculture / National Institute of Food and Agriculture,B - Project Grants (Discretionary),9/11/2015 5:00,3/1/2010 8:09
10.328,"National Food Safety Training, Education, Extension, Outreach, and Technical Assistance Competitive Grants Program",Department of Agriculture / National Institute of Food and Agriculture,B - Project Grants (Discretionary),9/2/2015 10:21,3/17/2015 12:56
11.010,Community Trade Adjustment Assistance,Department of Commerce / Economic Development Administration,B - Project Grants (Discretionary),9/13/2015 5:00,10/8/2009 7:20
11.014,Band 14 Incumbent Spectrum Relocation,Department of Commerce / National Telecommunications and Information Administration,B - Project Grants (Discretionary),12/11/2015 5:05,11/1/2015 5:01
84.422,Presidential and Congressional Academies for American History and Civics,Department of Education,B - Project Grants (Discretionary),3/9/2016 5:00,3/9/2016 5:00
84.282,Charter Schools,Department of Education / Office of Innovation and Improvement,B - Project Grants (Discretionary),8/29/2015 5:01,1/1/1995 0:00
93.293,Supporting Permanent Placements of Foster Care Children Through Electronic Records Exchange,Department of Health and Human Services / Administration for Children and Families,B - Project Grants (Discretionary),8/29/2015 5:00,7/7/2013 5:00
93.534,Affordable Care Act Program for Early Detection of Certain Medical Conditions Related to Environmental Health Hazards,Department of Health and Human Services / Agency for Toxic Substances and Disease Registry,B - Project Grants (Discretionary),8/27/2015 5:02,12/18/2010 9:44
93.985,Assistance for Oral Disease Prevention and Control,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Project Grants (Discretionary),11/26/2015 5:00,11/26/2015 5:00
93.089,Emergency System for Advance Registration of Volunteer Health Professionals,Department of Health and Human Services / Office of the Secretary,B - Project Grants (Discretionary),9/11/2015 5:00,6/19/2009 8:31
93.243,Substance Abuse and Mental Health Services_Projects of Regional and National Significance,Department of Health and Human Services / Substance Abuse and Mental Health Services Administration,B - Project Grants (Discretionary),9/5/2015 5:00,1/1/2002 0:00
93.275,Substance Abuse and Mental Health Services-Access to Recovery,Department of Health and Human Services / Substance Abuse and Mental Health Services Administration,B - Project Grants (Discretionary),9/5/2015 5:00,1/1/2004 0:00
93.997,Assisted Outpatient Treatment,Department of Health and Human Services / Substance Abuse and Mental Health Services Administration,B - Project Grants (Discretionary),3/17/2016 5:00,3/17/2016 5:00
14.272,National Disaster Resilience Competition,Department of Housing and Urban Development / Office of Community Planning and Development,B - Project Grants (Discretionary),7/13/2015 13:24,8/1/2014 5:00
16.817,Byrne Criminal Justice Innovation Program,Department of Justice / Bureau of Justice Assistance,B - Project Grants (Discretionary),9/18/2015 5:00,4/8/2012 5:02
16.825,Smart Prosecution Initiative,Department of Justice / Bureau of Justice Assistance,B - Project Grants (Discretionary),9/6/2015 5:00,3/2/2014 5:00
16.820,Postconviction Testing of DNA Evidence to Exonerate the Innocent,Department of Justice / National Institute of Justice,B - Project Grants (Discretionary),9/18/2015 5:00,5/3/2012 5:01
16.818,Children Exposed to Violence,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - Project Grants (Discretionary),9/13/2015 5:00,4/15/2012 5:01
16.819,National Forum on Youth Violence Prevention,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - Project Grants (Discretionary),9/13/2015 5:00,5/2/2012 5:00
16.823,Emergency Planning for Juvenile Justice Facilities,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - Project Grants (Discretionary),9/13/2015 5:00,6/7/2013 5:00
17.284,Hurricane Sandy Disaster Relief Appropriations Act Supplemental - National Emergency Grants (NEGs),Department of Labor / Employment Training Administration,B - Project Grants (Discretionary),8/21/2015 5:00,4/4/2013 5:00
15.530,Water Conservation Field Services Program (WCFSP),Department of the Interior / Bureau of Reclamation,B - Project Grants (Discretionary),9/1/2015 5:01,1/1/2007 0:00
15.608,Fish and Wildlife Management Assistance,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/14/2015 5:01,1/1/1965 0:00
15.614,"Coastal Wetlands Planning, Protection and Restoration Program",Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/14/2015 5:01,1/1/1992 0:00
15.615,Cooperative Endangered Species Conservation Fund,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/14/2015 5:01,1/1/1992 0:00
15.616,Clean Vessel Act Program,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/14/2015 5:01,1/1/1993 0:00
15.619,Rhinoceros and Tiger Conservation Fund,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/14/2015 5:01,1/1/1996 0:00
15.621,Asian Elephant Conservation Fund,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/14/2015 5:01,1/1/1999 0:00
15.622,Sportfishing and Boating Safety Act,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),4/20/2014 5:00,1/1/1999 0:00
15.623,North American Wetlands Conservation Fund,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/14/2015 5:01,1/1/1999 0:00
15.628,Multistate Conservation Grant Program,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/14/2015 5:01,1/1/2001 0:00
15.629,Great Apes Conservation Fund,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/14/2015 5:01,1/1/2001 0:00
15.635,Neotropical Migratory Bird Conservation,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/15/2015 5:00,1/1/2003 0:00
15.640,Wildlife Without Borders- Latin America and the Caribbean,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/22/2015 5:00,1/1/2004 0:00
15.641,Wildlife Without Borders-Mexico,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/22/2015 5:00,1/1/2004 0:00
15.642,Challenge Cost Share,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/22/2015 5:00,1/1/2004 0:00
15.647,Migratory  Bird Conservation,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/22/2015 5:00,1/1/2005 0:00
15.649,Service Training and Technical Assistance (Generic Training),Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/22/2015 5:00,1/1/2007 0:00
15.650,Research Grants (Generic),Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/22/2015 5:00,1/1/2007 0:00
15.651,Wildlife Without Borders-Africa Program,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/22/2015 5:00,1/1/2007 0:00
15.652,Undesirable/Noxious Plant Species,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/22/2015 5:00,1/1/2008 0:00
15.662,Great Lakes Restoration,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/28/2015 5:00,12/2/2010 7:58
15.665,National Wetlands Inventory,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/29/2015 5:00,12/1/2010 10:44
15.667,Highlands Conservation Program,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/29/2015 5:00,5/6/2011 5:00
15.669,Cooperative Landscape Conservation,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/29/2015 5:00,5/13/2011 5:00
15.670,Adaptive Science,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/29/2015 5:00,5/13/2011 5:00
15.671,Yukon River Salmon Research and Management Assistance,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/29/2015 5:00,11/6/2011 5:00
15.676,"Youth Engagement, Education, and Employment Programs",Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/30/2015 5:00,3/22/2013 5:00
15.677,Hurricane Sandy Disaster Relief Activities-FWS,Department of the Interior / Fish and Wildlife Service,B - Project Grants (Discretionary),7/30/2015 5:00,8/7/2013 5:00
15.922,Native American Graves Protection and Repatriation Act,Department of the Interior / National Park Service,B - Project Grants (Discretionary),8/27/2015 5:02,1/1/1997 0:00
15.814,National Geological and Geophysical Data Preservation Program,Department of the Interior / U.S. Geological Survey,B - Project Grants (Discretionary),8/11/2015 5:00,1/1/2008 0:00
15.815,National Land Remote Sensing_Education Outreach and Research,Department of the Interior / U.S. Geological Survey,B - Project Grants (Discretionary),8/11/2015 5:00,1/1/2008 0:00
20.234,Safety Data Improvement Program,Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA),B - Project Grants (Discretionary),8/8/2015 5:00,1/1/2006 0:00
20.235,Commercial Motor Vehicle Operator Training Grants,Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA),B - Project Grants (Discretionary),8/8/2015 5:00,1/1/2006 0:00
20.237,Commercial Vehicle Information Systems and Networks,Department of Transportation / Federal Motor Carrier Safety Administration (FMCSA),B - Project Grants (Discretionary),8/12/2015 5:00,1/1/2006 0:00
20.703,Interagency Hazardous Materials Public Sector Training and Planning Grants,Department of Transportation / Pipeline and Hazardous Materials Safety Administration,B - Project Grants (Discretionary),8/8/2015 5:00,1/1/1993 0:00
20.720,State Damage Prevention Program Grants,Department of Transportation / Pipeline and Hazardous Materials Safety Administration,B - Project Grants (Discretionary),8/6/2015 5:00,1/1/2007 0:00
34.002,Labor Management Cooperation,Federal Mediation and Conciliation Service,B - Project Grants (Discretionary),3/12/2016 5:00,7/27/2009 13:18
20.527,Public Transportation Emergency Relief Program,Department of Transportation / Federal Transit Administration (FTA),"B - Project Grants (Discretionary), B - Project Grants (Special)",8/5/2015 5:00,2/6/2013 17:45
15.407,Keweenaw National Historical Park (NHP) and Keweenaw NHP Advisory Commission Partner Enhancement Grants,Department of the Interior / National Park Service,"B - Project Grants (Discretionary), K - Advisory Services and Counseling",8/27/2015 5:02,1/1/2008 0:00
93.887,Health Care and Other Facilities,Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants (for specified projects),9/2/2015 9:20,1/1/1990 0:00
93.888,Specially Selected Health Projects,Department of Health and Human Services / Health Resources and Services Administration,B - Project Grants (for specified projects),9/2/2015 14:42,1/1/2004 0:00
93.084,"Prevention of Disease, Disability, and Death by Infectious Diseases",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Project Grants (including individual awards),8/21/2015 5:00,4/5/2013 5:00
19.026,Global Peace Operations Initiative,Department of State,"B - Project Grants, B - Project Grants (Capacity Building and Complaint Processing, Training), B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Discretionary), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (Special)",9/7/2011 5:00,9/7/2011 5:00
81.086,Conservation Research and Development,Department of Energy,"B - Project Grants, B - Project Grants (Cooperative Agreements)",8/22/2015 5:00,1/1/1984 0:00
16.800,Recovery Act - Internet Crimes against Children Task Force Program (ICAC),Department of Justice,"B - Project Grants, B - Project Grants (Cooperative Agreements)",8/22/2015 5:00,5/22/2009 9:42
16.320,Services for Trafficking Victims,Department of Justice / Office for Victims of Crime,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE",9/21/2014 5:00,1/1/2004 0:00
15.250,Regulation of Surface Coal Mining and Surface Effects of Underground Coal Mining,Department of the Interior / Office of Surface Mining,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE",6/13/2015 5:00,1/1/1978 0:00
16.807,Recovery Act - VOCA Crime Victim Assistance Discretionary Grant Program,Department of Justice / Office for Victims of Crime,"B - Project Grants, C - Direct Payments for Specified Use",8/22/2015 5:00,5/15/2009 17:33
45.313,Laura Bush 21st Century Librarian Program,Institute of Museum and Library Services,"B - PROJECT GRANTS, C - Direct Payments for Specified Use",3/31/2016 5:00,1/1/2003 0:00
20.514,"Public Transportation Research, Technical Assistance, and Training",Department of Transportation / Federal Transit Administration (FTA),"B - PROJECT GRANTS, C - Direct Payments for Specified Use, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",8/1/2015 5:00,1/1/1993 0:00
11.467,Meteorologic and Hydrologic Modernization Development,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),"B - PROJECT GRANTS, D - Direct Payments with Unrestricted Use, L - Dissemination of Technical Information, M - Training",7/20/2012 5:02,1/1/1993 0:00
10.770,Water and Waste Disposal Loans and Grants (Section 306C),Department of Agriculture / Rural Utilities Service,"B - PROJECT GRANTS, E - DIRECT LOANS",7/26/2015 5:00,1/1/1993 0:00
97.108,"Homeland Security, Research, Testing, Evaluation, and Demonstration of Technologies",Department of Homeland Security,"B - PROJECT GRANTS, H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS, I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, L - DISSEMINATION OF TECHNICAL INFORMATION",6/21/2015 5:00,1/1/2007 0:00
97.091,Homeland Security Biowatch Program,Department of Homeland Security,"B - PROJECT GRANTS, I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT",7/10/2015 5:00,1/1/2006 0:00
20.108,Aviation Research Grants,Department of Transportation / Federal Aviation Administration (FAA),"B - PROJECT GRANTS, I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT",7/18/2015 5:00,1/1/1993 0:00
15.228,National Fire Plan - Wildland Urban Interface Community Fire Assistance,Department of the Interior / Bureau of Land Management,"B - PROJECT GRANTS, I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/17/2015 5:00,1/1/2001 0:00
15.242,National Fire Plan - Rural Fire Assistance,Department of the Interior / Bureau of Land Management,"B - PROJECT GRANTS, I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/17/2015 5:00,1/1/2005 0:00
66.469,Great Lakes Program,Environmental Protection Agency / Office of Water,"B - PROJECT GRANTS, I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, L - DISSEMINATION OF TECHNICAL INFORMATION",9/11/2015 5:00,1/1/1997 0:00
97.046,Fire Management Assistance Grant,Department of Homeland Security,"B - PROJECT GRANTS, J - PROVISION OF SPECIALIZED SERVICES",9/22/2015 5:00,1/1/2003 0:00
16.541,"Part E - Developing, Testing and Demonstrating Promising New Programs",Department of Justice / Office of Juvenile Justice and Delinquency Prevention,"B - PROJECT GRANTS, J - PROVISION OF SPECIALIZED SERVICES",9/21/2014 5:01,1/1/1980 0:00
16.602,Corrections_Research and Evaluation and Policy Formulation,Department of Justice / Bureau of Prisons,"B - PROJECT GRANTS, J - PROVISION OF SPECIALIZED SERVICES, L - DISSEMINATION OF TECHNICAL INFORMATION",7/19/2015 5:00,1/1/1976 0:00
16.603,Corrections_Technical Assistance/Clearinghouse,Department of Justice / Bureau of Prisons,"B - PROJECT GRANTS, J - PROVISION OF SPECIALIZED SERVICES, L - DISSEMINATION OF TECHNICAL INFORMATION",7/19/2015 5:00,1/1/1976 0:00
16.601,Corrections_Training and Staff Development,Department of Justice / Bureau of Prisons,"B - PROJECT GRANTS, J - PROVISION OF SPECIALIZED SERVICES, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",7/19/2015 5:00,1/1/1976 0:00
20.106,Airport Improvement Program,Department of Transportation / Federal Aviation Administration (FAA),"B - PROJECT GRANTS, K - ADVISORY SERVICES AND COUNSELING",7/23/2015 5:00,1/1/1983 0:00
45.025,Promotion of the Arts_Partnership Agreements,National Endowment for the Arts,"B - PROJECT GRANTS, K - ADVISORY SERVICES AND COUNSELING",8/7/2015 5:01,1/1/1996 0:00
16.560,"National Institute of Justice Research, Evaluation, and Development Project Grants",Department of Justice / National Institute of Justice,"B - PROJECT GRANTS, L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2015 5:00,1/1/1980 0:00
93.213,Research and Training in Complementary and Integrative Health,Department of Health and Human Services / National Institutes of Health,"B - PROJECT GRANTS, M - TRAINING",8/27/2015 5:00,1/1/1994 0:00
93.279,Drug Abuse and Addiction Research Programs,Department of Health and Human Services / National Institutes of Health,"B - PROJECT GRANTS, M - TRAINING",8/5/2015 5:00,1/1/1990 0:00
93.310,Trans-NIH Research Support,Department of Health and Human Services / National Institutes of Health,"B - PROJECT GRANTS, M - TRAINING",9/2/2015 5:01,1/1/2006 0:00
16.203,Promoting Evidence Integration in Sex Offender Management Discretionary Grant Program,"Department of Justice / Office of Sex Offender Sentencing, Monitoring, Apprehending, Registering, and Tracking","B - PROJECT GRANTS, M - TRAINING",9/11/2015 5:00,1/1/2002 0:00
10.055,Direct and Counter-cyclical Payments Program,Department of Agriculture / Farm Service Agency,C - DIRECT PAYMENTS FOR A SPECIFIED USE,8/14/2015 5:00,1/1/1970 0:00
10.069,Conservation Reserve Program,Department of Agriculture / Farm Service Agency,C - DIRECT PAYMENTS FOR A SPECIFIED USE,8/7/2015 5:01,1/1/1986 0:00
10.604,Technical Assistance for Specialty Crops Program,Department of Agriculture / Foreign Agricultural Service,C - DIRECT PAYMENTS FOR A SPECIFIED USE,8/8/2014 5:00,1/1/2004 0:00
10.913,Farm and Ranch Lands Protection Program,Department of Agriculture / Natural Resources Conservation Service,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/2/2015 5:00,1/1/1997 0:00
10.917,Agricultural Management Assistance,Department of Agriculture / Natural Resources Conservation Service,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/3/2015 5:00,1/1/2004 0:00
93.784,Federal Reimbursement of Emergency Health Services Furnished to Undocumented Aliens,Department of Health and Human Services / Centers for Medicare and Medicaid Services,C - DIRECT PAYMENTS FOR A SPECIFIED USE,7/31/2015 5:00,1/1/2004 0:00
97.026,Emergency Management Institute Training Assistance,Department of Homeland Security,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/12/2015 5:00,1/1/2003 0:00
16.607,Bulletproof Vest Partnership Program,Department of Justice / Bureau of Justice Assistance,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/18/2015 5:00,1/1/1999 0:00
90.401,Help America Vote Act Requirements Payments,U.S. Election Assistance Commission,C - DIRECT PAYMENTS FOR A SPECIFIED USE,9/25/2008 0:00,1/1/2005 0:00
15.227,Distribution of Receipts to State and Local Governments,Department of the Interior / Bureau of Land Management,"C - DIRECT PAYMENTS FOR A SPECIFIED USE, D - DIRECT PAYMENTS WITH UNRESTRICTED USE",9/17/2015 5:00,1/1/2001 0:00
10.589,Child Nutrition Direct Certification Performance Awards,Department of Agriculture / Food and Nutrition Service,C - Direct Payments for Specified Use,8/29/2015 5:01,7/18/2012 5:01
10.694,Southwest Forest Health and Wildfire Prevention,Department of Agriculture / Forest Service,C - Direct Payments for Specified Use,8/29/2015 5:01,5/21/2010 7:51
10.926,Chesapeake Bay Watershed Program,Department of Agriculture / Natural Resources Conservation Service,C - Direct Payments for Specified Use,9/3/2015 5:01,8/12/2011 16:22
10.928,Emergency Watershed Protection Program - Floodplain Easements – Disaster Relief Appropriations Act,Department of Agriculture / Natural Resources Conservation Service,C - Direct Payments for Specified Use,9/4/2015 5:00,4/21/2013 5:00
